#energy (keV)	total count	counts for increasing scattering numbers (from 1)
0.1	0	0	0	0	0	0	0	0	0	0	0
0.3	0	0	0	0	0	0	0	0	0	0	0
0.5	0	0	0	0	0	0	0	0	0	0	0
0.7	0	0	0	0	0	0	0	0	0	0	0
0.9	0	0	0	0	0	0	0	0	0	0	0
1.1	0	0	0	0	0	0	0	0	0	0	0
1.3	0	0	0	0	0	0	0	0	0	0	0
1.5	0	0	0	0	0	0	0	0	0	0	0
1.7	0	0	0	0	0	0	0	0	0	0	0
1.9	0	0	0	0	0	0	0	0	0	0	0
2.1	0	0	0	0	0	0	0	0	0	0	0
2.3	0	0	0	0	0	0	0	0	0	0	0
2.5	0	0	0	0	0	0	0	0	0	0	0
2.7	0	0	0	0	0	0	0	0	0	0	0
2.9	0	0	0	0	0	0	0	0	0	0	0
3.1	0	0	0	0	0	0	0	0	0	0	0
3.3	0	0	0	0	0	0	0	0	0	0	0
3.5	0	0	0	0	0	0	0	0	0	0	0
3.7	0	0	0	0	0	0	0	0	0	0	0
3.9	0	0	0	0	0	0	0	0	0	0	0
4.1	0	0	0	0	0	0	0	0	0	0	0
4.3	0	0	0	0	0	0	0	0	0	0	0
4.5	0	0	0	0	0	0	0	0	0	0	0
4.7	0	0	0	0	0	0	0	0	0	0	0
4.9	0	0	0	0	0	0	0	0	0	0	0
5.1	0	0	0	0	0	0	0	0	0	0	0
5.3	0	0	0	0	0	0	0	0	0	0	0
5.5	0	0	0	0	0	0	0	0	0	0	0
5.7	0	0	0	0	0	0	0	0	0	0	0
5.9	0	0	0	0	0	0	0	0	0	0	0
6.1	0	0	0	0	0	0	0	0	0	0	0
6.3	0	0	0	0	0	0	0	0	0	0	0
6.5	0	0	0	0	0	0	0	0	0	0	0
6.7	0	0	0	0	0	0	0	0	0	0	0
6.9	0	0	0	0	0	0	0	0	0	0	0
7.1	0	0	0	0	0	0	0	0	0	0	0
7.3	0	0	0	0	0	0	0	0	0	0	0
7.5	0	0	0	0	0	0	0	0	0	0	0
7.7	0	0	0	0	0	0	0	0	0	0	0
7.9	0	0	0	0	0	0	0	0	0	0	0
8.1	0	0	0	0	0	0	0	0	0	0	0
8.3	0	0	0	0	0	0	0	0	0	0	0
8.5	0	0	0	0	0	0	0	0	0	0	0
8.7	0	0	0	0	0	0	0	0	0	0	0
8.9	0	0	0	0	0	0	0	0	0	0	0
9.1	0	0	0	0	0	0	0	0	0	0	0
9.3	0	0	0	0	0	0	0	0	0	0	0
9.5	0	0	0	0	0	0	0	0	0	0	0
9.7	0	0	0	0	0	0	0	0	0	0	0
9.9	0	0	0	0	0	0	0	0	0	0	0
10.1	0	0	0	0	0	0	0	0	0	0	0
10.3	0	0	0	0	0	0	0	0	0	0	0
10.5	0	0	0	0	0	0	0	0	0	0	0
10.7	0	0	0	0	0	0	0	0	0	0	0
10.9	0	0	0	0	0	0	0	0	0	0	0
11.1	0	0	0	0	0	0	0	0	0	0	0
11.3	0	0	0	0	0	0	0	0	0	0	0
11.5	0	0	0	0	0	0	0	0	0	0	0
11.7	0	0	0	0	0	0	0	0	0	0	0
11.9	0	0	0	0	0	0	0	0	0	0	0
12.1	0	0	0	0	0	0	0	0	0	0	0
12.3	0	0	0	0	0	0	0	0	0	0	0
12.5	0	0	0	0	0	0	0	0	0	0	0
12.7	0	0	0	0	0	0	0	0	0	0	0
12.9	0	0	0	0	0	0	0	0	0	0	0
13.1	0	0	0	0	0	0	0	0	0	0	0
13.3	0	0	0	0	0	0	0	0	0	0	0
13.5	1	0	0	0	0	0	0	0	0	0	1
13.7	0	0	0	0	0	0	0	0	0	0	0
13.9	0	0	0	0	0	0	0	0	0	0	0
14.1	0	0	0	0	0	0	0	0	0	0	0
14.3	0	0	0	0	0	0	0	0	0	0	0
14.5	0	0	0	0	0	0	0	0	0	0	0
14.7	1	0	0	0	0	0	0	0	0	0	1
14.9	0	0	0	0	0	0	0	0	0	0	0
15.1	1	0	0	0	0	0	0	0	0	0	1
15.3	0	0	0	0	0	0	0	0	0	0	0
15.5	1	0	0	0	0	0	0	0	0	0	1
15.7	0	0	0	0	0	0	0	0	0	0	0
15.9	0	0	0	0	0	0	0	0	0	0	0
16.1	0	0	0	0	0	0	0	0	0	0	0
16.3	0	0	0	0	0	0	0	0	0	0	0
16.5	1	0	0	0	0	0	0	0	0	0	1
16.7	3	0	0	0	0	0	0	0	0	0	3
16.9	1	0	0	0	0	0	0	0	0	0	1
17.1	2	0	0	0	0	0	0	0	0	0	2
17.3	0	0	0	0	0	0	0	0	0	0	0
17.5	5	0	0	0	0	0	0	0	0	0	5
17.7	1	0	0	0	0	0	0	0	0	0	1
17.9	0	0	0	0	0	0	0	0	0	0	0
18.1	1	0	0	0	0	0	0	0	0	0	1
18.3	2	0	0	0	0	0	0	0	0	0	2
18.5	0	0	0	0	0	0	0	0	0	0	0
18.7	1	0	0	0	0	0	0	0	0	0	1
18.9	0	0	0	0	0	0	0	0	0	0	0
19.1	1	0	0	0	0	0	0	0	0	0	1
19.3	2	0	0	0	0	0	0	0	0	0	2
19.5	1	0	0	0	0	0	0	0	0	0	1
19.7	2	0	0	0	0	0	0	0	0	0	2
19.9	2	0	0	0	0	0	0	0	0	0	2
20.1	2	0	0	0	0	0	0	0	0	0	2
20.3	3	0	0	0	0	0	0	0	0	0	3
20.5	1	0	0	0	0	0	0	0	0	0	1
20.7	4	0	0	0	0	0	0	0	0	0	4
20.9	4	0	0	0	0	0	0	0	0	0	4
21.1	3	0	0	0	0	0	0	0	0	0	3
