#energy (keV)	total count	counts for increasing scattering numbers (from 1)
0.4	0	0	0	0	0	0	0	0	0	0	0
1.2	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
2.8	0	0	0	0	0	0	0	0	0	0	0
3.6	0	0	0	0	0	0	0	0	0	0	0
4.4	0	0	0	0	0	0	0	0	0	0	0
5.2	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0
6.8	0	0	0	0	0	0	0	0	0	0	0
7.6	0	0	0	0	0	0	0	0	0	0	0
8.4	0	0	0	0	0	0	0	0	0	0	0
9.2	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0
10.8	0	0	0	0	0	0	0	0	0	0	0
11.6	0	0	0	0	0	0	0	0	0	0	0
12.4	0	0	0	0	0	0	0	0	0	0	0
13.2	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0
14.8	0	0	0	0	0	0	0	0	0	0	0
15.6	0	0	0	0	0	0	0	0	0	0	0
16.4	1	0	0	0	0	0	0	0	0	0	1
17.2	1	0	0	0	0	0	0	0	0	0	1
18	1	0	0	0	0	0	0	0	0	0	1
18.8	2	0	0	0	0	0	0	0	0	0	2
19.6	2	0	0	0	0	0	0	0	0	0	2
20.4	1	0	0	0	0	0	0	0	0	0	1
21.2	1	0	0	0	0	0	0	0	0	0	1
22	0	0	0	0	0	0	0	0	0	0	0
22.8	5	0	0	0	0	0	0	0	0	0	5
23.6	4	0	0	0	0	0	0	0	0	0	4
24.4	6	0	0	0	0	0	0	0	0	0	6
25.2	3	0	0	0	0	0	0	0	0	0	3
26	5	0	0	0	0	0	0	0	0	0	5
26.8	11	0	0	0	0	0	0	0	0	0	11
27.6	8	0	0	0	0	0	0	0	0	0	8
28.4	10	0	0	0	0	0	0	0	0	0	10
29.2	14	0	0	0	0	0	0	0	0	0	14
30	9	0	0	0	0	0	0	0	0	0	9
30.8	11	0	0	0	0	0	0	0	0	0	11
31.6	17	0	0	0	0	0	0	0	0	0	17
32.4	16	0	0	0	0	0	0	0	0	0	16
33.2	15	0	0	0	0	0	0	0	0	0	15
34	16	0	0	0	0	0	0	0	0	0	16
34.8	10	0	0	0	0	0	0	0	0	0	10
35.6	14	0	0	0	0	0	0	0	0	0	14
36.4	24	0	0	0	0	0	0	0	0	0	24
37.2	22	0	0	0	0	0	0	0	1	2	19
38	25	0	0	0	0	0	0	0	1	2	22
38.8	36	0	0	0	0	0	0	0	0	3	33
39.6	16	0	0	0	0	0	0	0	0	5	11
40.4	26	0	0	0	0	0	0	1	1	0	24
41.2	36	0	0	0	0	0	0	0	1	8	27
42	35	0	0	0	0	0	0	1	1	8	25
42.8	37	0	0	0	0	0	1	0	3	6	27
43.6	32	0	0	0	0	0	0	1	7	3	21
44.4	31	0	0	0	0	0	0	3	5	4	19
45.2	36	0	0	0	0	0	0	2	4	9	21
46	39	0	0	0	0	0	0	1	6	9	23
46.8	37	0	0	0	0	0	1	6	3	10	17
47.6	40	0	0	0	0	0	0	6	9	9	16
48.4	51	0	0	0	0	0	1	4	7	10	29
49.2	42	0	0	0	0	0	3	5	8	10	16
50	46	0	0	0	0	0	2	6	9	6	23
50.8	44	0	0	0	0	0	3	5	15	6	15
51.6	62	0	0	0	0	1	0	13	21	13	14
52.4	47	0	0	0	0	0	5	7	6	11	18
53.2	59	0	0	0	0	0	3	11	16	14	15
54	48	0	0	0	0	0	5	12	13	9	9
54.8	44	0	0	0	0	1	6	12	8	12	5
55.6	66	0	0	0	0	1	6	21	14	3	21
56.4	86	0	0	0	0	4	13	21	17	21	10
57.2	57	0	0	0	0	1	13	8	18	8	9
58	61	0	0	0	0	2	11	14	14	8	12
58.8	71	0	0	0	0	6	13	18	14	11	9
59.6	71	0	0	0	0	6	12	26	15	7	5
60.4	67	0	0	0	0	4	21	15	14	9	4
61.2	58	0	0	0	0	5	14	9	15	12	3
62	65	0	0	0	0	6	16	21	13	3	6
62.8	73	0	0	0	0	5	22	22	11	7	6
63.6	76	0	0	0	0	9	23	23	10	6	5
64.4	66	0	0	0	3	5	18	20	12	2	6
65.2	62	0	0	0	0	8	13	18	15	5	3
66	100	0	0	0	2	9	30	26	23	5	5
66.8	80	0	0	0	2	13	22	12	20	5	6
67.6	85	0	0	0	4	17	16	21	11	8	8
68.4	89	0	0	0	4	17	25	29	7	7	0
69.2	83	0	0	0	1	22	23	19	12	3	3
70	77	0	0	0	4	15	24	14	10	8	2
70.8	87	0	0	0	7	20	27	14	15	3	1
71.6	90	0	0	0	6	23	30	18	9	2	2
72.4	83	0	0	0	5	19	29	19	4	4	3
73.2	94	0	0	0	12	18	31	20	9	4	0
74	102	0	0	0	10	32	30	18	6	3	3
74.8	91	0	0	0	12	20	26	21	4	3	5
75.6	92	0	0	0	15	25	20	15	14	2	1
76.4	85	0	0	0	12	22	27	11	10	2	1
77.2	91	0	0	1	8	23	24	18	7	8	2
78	90	0	0	1	15	21	30	12	8	2	1
78.8	118	0	0	1	25	34	32	18	3	3	2
79.6	99	0	0	6	14	25	29	18	7	0	0
80.4	100	0	0	1	20	29	26	17	3	1	3
81.2	108	0	0	4	15	31	23	21	9	3	2
82	101	0	0	8	23	28	19	11	10	1	1
82.8	120	0	0	6	24	35	31	17	5	1	1
83.6	93	0	0	9	22	25	20	13	3	1	0
84.4	122	0	0	8	26	40	29	16	3	0	0
85.2	97	0	0	8	32	22	19	10	5	1	0
86	104	0	0	13	18	32	25	7	8	1	0
86.8	110	0	0	12	37	25	22	9	4	1	0
87.6	115	0	0	9	33	25	31	13	4	0	0
88.4	104	0	0	11	27	29	25	6	4	2	0
89.2	112	0	0	12	35	35	17	8	2	3	0
90	101	0	0	8	23	30	24	11	5	0	0
90.8	111	0	0	20	25	25	26	8	7	0	0
91.6	118	0	0	13	33	33	24	9	5	1	0
92.4	110	0	0	12	38	28	19	7	4	2	0
93.2	102	0	0	25	30	29	14	2	1	1	0
94	120	0	0	17	39	30	20	12	2	0	0
94.8	110	0	0	15	27	34	22	10	2	0	0
95.6	119	0	0	20	35	35	12	9	6	2	0
96.4	98	0	0	18	28	26	17	8	1	0	0
97.2	103	0	0	21	34	29	13	5	0	1	0
98	119	0	0	26	38	36	15	2	1	1	0
98.8	103	0	0	24	28	27	14	7	2	0	1
99.6	119	0	0	29	32	34	17	3	0	4	0
100.4	85	0	0	16	32	18	11	6	1	0	1
101.2	106	0	0	31	29	24	9	8	4	1	0
102	122	0	0	28	48	29	13	4	0	0	0
102.8	99	0	0	27	37	18	7	6	1	3	0
103.6	117	0	0	30	30	23	23	6	5	0	0
104.4	112	0	0	29	39	30	8	1	4	1	0
105.2	96	0	0	20	44	17	8	6	1	0	0
106	116	0	0	29	42	16	22	4	3	0	0
106.8	105	0	0	29	37	31	5	3	0	0	0
107.6	104	0	0	26	36	22	13	6	1	0	0
108.4	105	0	0	34	37	19	10	4	1	0	0
109.2	103	0	0	26	42	14	14	2	5	0	0
110	123	0	0	30	51	21	16	3	2	0	0
110.8	90	0	0	25	31	18	11	5	0	0	0
111.6	98	0	0	23	35	24	12	2	2	0	0
112.4	115	0	0	36	38	26	11	2	2	0	0
113.2	100	0	0	27	37	24	8	3	1	0	0
114	113	0	0	20	47	33	10	0	2	1	0
114.8	119	0	0	38	44	23	9	2	3	0	0
115.6	93	0	0	30	27	20	12	4	0	0	0
116.4	105	0	0	33	28	29	10	3	2	0	0
117.2	85	0	0	31	33	14	5	1	1	0	0
118	96	0	0	39	30	15	12	0	0	0	0
118.8	104	0	0	35	37	21	8	3	0	0	0
119.6	116	0	0	54	32	19	7	4	0	0	0
120.4	97	0	0	33	35	18	9	2	0	0	0
121.2	85	0	0	26	36	15	5	2	0	1	0
122	104	0	0	46	25	27	4	2	0	0	0
122.8	106	0	0	44	37	15	3	6	1	0	0
123.6	103	0	0	42	37	18	4	2	0	0	0
124.4	96	0	0	38	31	18	5	4	0	0	0
125.2	84	0	0	41	26	8	8	0	1	0	0
126	92	0	2	38	30	17	3	0	1	0	1
126.8	93	0	1	45	29	14	4	0	0	0	0
127.6	87	0	2	31	29	18	5	2	0	0	0
128.4	85	0	4	37	26	16	2	0	0	0	0
129.2	99	0	5	44	26	10	11	3	0	0	0
130	102	0	7	51	25	13	3	3	0	0	0
130.8	115	0	11	52	34	11	6	1	0	0	0
131.6	100	0	12	37	30	17	3	1	0	0	0
132.4	95	0	10	34	38	9	4	0	0	0	0
133.2	117	0	24	44	26	9	12	1	1	0	0
134	112	0	16	39	39	9	6	3	0	0	0
134.8	131	0	27	57	28	10	8	0	1	0	0
135.6	125	0	29	41	34	17	3	0	1	0	0
136.4	118	0	32	40	26	15	3	2	0	0	0
137.2	130	0	28	51	30	12	8	1	0	0	0
138	147	0	36	51	38	14	7	1	0	0	0
138.8	163	0	45	55	44	13	5	1	0	0	0
139.6	135	0	38	56	26	10	3	2	0	0	0
140.4	140	0	61	45	18	14	0	2	0	0	0
141.2	168	0	62	54	40	10	1	1	0	0	0
142	154	0	53	56	29	13	1	1	0	1	0
142.8	167	0	73	50	29	13	1	0	1	0	0
143.6	183	0	75	64	35	5	2	1	1	0	0
144.4	148	0	63	40	27	12	4	2	0	0	0
145.2	176	0	80	55	29	10	1	1	0	0	0
146	171	0	72	53	36	5	2	3	0	0	0
146.8	190	0	86	72	22	7	3	0	0	0	0
147.6	161	0	68	59	23	10	1	0	0	0	0
148.4	152	0	66	50	26	7	3	0	0	0	0
149.2	166	0	62	61	25	13	2	3	0	0	0
150	168	0	70	57	27	11	1	2	0	0	0
150.8	158	0	64	49	37	4	3	1	0	0	0
151.6	178	0	95	46	24	12	1	0	0	0	0
152.4	162	0	70	55	32	3	1	1	0	0	0
153.2	180	0	63	65	39	12	1	0	0	0	0
154	175	0	73	55	35	10	1	1	0	0	0
154.8	182	0	89	61	28	4	0	0	0	0	0
155.6	172	0	70	71	20	8	2	0	1	0	0
156.4	169	0	73	60	24	10	2	0	0	0	0
157.2	151	0	65	58	17	10	1	0	0	0	0
158	160	0	64	64	25	6	1	0	0	0	0
158.8	161	0	73	53	23	9	3	0	0	0	0
159.6	147	0	49	63	26	9	0	0	0	0	0
160.4	161	0	77	60	21	2	0	1	0	0	0
161.2	165	0	85	51	19	7	3	0	0	0	0
162	168	0	76	62	20	8	1	1	0	0	0
162.8	162	0	95	37	26	4	0	0	0	0	0
163.6	156	0	79	48	22	7	0	0	0	0	0
164.4	158	0	66	57	24	9	2	0	0	0	0
165.2	139	0	61	54	21	3	0	0	0	0	0
166	146	0	76	50	13	6	1	0	0	0	0
166.8	156	0	84	45	21	6	0	0	0	0	0
167.6	164	0	90	57	16	1	0	0	0	0	0
168.4	156	0	75	51	19	10	1	0	0	0	0
169.2	143	0	74	38	23	5	2	0	1	0	0
170	137	0	70	52	13	2	0	0	0	0	0
170.8	138	0	77	44	14	1	2	0	0	0	0
171.6	158	0	87	46	19	5	1	0	0	0	0
172.4	134	0	70	48	12	3	1	0	0	0	0
173.2	146	0	73	50	18	5	0	0	0	0	0
174	144	0	77	45	15	6	1	0	0	0	0
174.8	126	0	70	42	12	2	0	0	0	0	0
175.6	171	0	90	54	21	4	2	0	0	0	0
176.4	147	0	84	45	16	1	1	0	0	0	0
177.2	150	0	91	43	12	2	2	0	0	0	0
178	161	0	92	53	12	4	0	0	0	0	0
178.8	142	0	81	44	14	1	2	0	0	0	0
179.6	145	0	79	48	12	4	2	0	0	0	0
180.4	141	0	80	44	14	3	0	0	0	0	0
181.2	131	0	76	40	11	3	1	0	0	0	0
182	126	0	80	38	5	3	0	0	0	0	0
182.8	140	0	77	39	22	2	0	0	0	0	0
183.6	146	0	93	37	10	3	2	1	0	0	0
184.4	134	0	69	45	17	3	0	0	0	0	0
185.2	124	0	69	35	14	5	1	0	0	0	0
186	122	0	69	37	13	3	0	0	0	0	0
186.8	149	0	83	40	20	5	0	1	0	0	0
